TrackId,Name,Composer,Milliseconds,Bytes,UnitPrice,Title,ArtistName,MediaType,Genre,PlaylistName
15,"Go Down",AC/DC,331180,10847611,0.99,"Alcohol Fueled Brewtality Live! [Disc 2]","Buddy Guy","MPEG audio file",Rock,Music
16,"Dog Eat Dog",AC/DC,215196,7032162,0.99,"Black Sabbath","Caetano Veloso","MPEG audio file",Rock,Music
16,"Dog Eat Dog",AC/DC,215196,7032162,0.99,"Black Sabbath","Caetano Veloso","MPEG audio file",Rock,Music
17,"Let There Be Rock",AC/DC,366654,12021261,0.99,"Black Sabbath Vol. 4 (Remaster)","Chico Buarque","MPEG audio file",Rock,Music
17,"Let There Be Rock",AC/DC,366654,12021261,0.99,"Black Sabbath Vol. 4 (Remaster)","Chico Buarque","MPEG audio file",Rock,Music
18,"Bad Boy Boogie",AC/DC,267728,8776140,0.99,"Body Count","Chico Science & Nação Zumbi","MPEG audio file",Rock,Music
18,"Bad Boy Boogie",AC/DC,267728,8776140,0.99,"Body Count","Chico Science & Nação Zumbi","MPEG audio file",Rock,Music
19,"Problem Child",AC/DC,325041,10617116,0.99,"Chemical Wedding","Cidade Negra","MPEG audio file",Rock,Music
19,"Problem Child",AC/DC,325041,10617116,0.99,"Chemical Wedding","Cidade Negra","MPEG audio file",Rock,Music
20,Overdose,AC/DC,369319,12066294,0.99,"The Best Of Buddy Guy - The Millenium Collection","Cláudio Zoli","MPEG audio file",Rock,Music
20,Overdose,AC/DC,369319,12066294,0.99,"The Best Of Buddy Guy - The Millenium Collection","Cláudio Zoli","MPEG audio file",Rock,Music
21,"Hell Ain't A Bad Place To Be",AC/DC,254380,8331286,0.99,"Prenda Minha","Various Artists","MPEG audio file",Rock,Music
21,"Hell Ain't A Bad Place To Be",AC/DC,254380,8331286,0.99,"Prenda Minha","Various Artists","MPEG audio file",Rock,Music
22,"Whole Lotta Rosie",AC/DC,323761,10547154,0.99,"Sozinho Remix Ao Vivo","Led Zeppelin","MPEG audio file",Rock,Music
22,"Whole Lotta Rosie",AC/DC,323761,10547154,0.99,"Sozinho Remix Ao Vivo","Led Zeppelin","MPEG audio file",Rock,Music
23,"Walk On Water","Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579,0.99,"Minha Historia","Frank Zappa & Captain Beefheart","MPEG audio file",Rock,Music
23,"Walk On Water","Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579,0.99,"Minha Historia","Frank Zappa & Captain Beefheart","MPEG audio file",Rock,"90’s Music"
23,"Walk On Water","Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579,0.99,"Minha Historia","Frank Zappa & Captain Beefheart","MPEG audio file",Rock,Music
24,"Love In An Elevator","Steven Tyler, Joe Perry",321828,10552051,0.99,Afrociberdelia,"Marcos Valle","MPEG audio file",Rock,Music
